learning_rate,num_epochs,layer1_size,layer2_size,layer3_size,accuracy,wall_clock_time
0.001,50,50,25,10,0.78,0.7808620929718018
0.001,50,100,50,25,0.8035,1.1388270854949951
0.001,50,200,100,50,0.8088333333333333,2.2069897651672363
0.001,50,400,200,100,0.8106666666666666,5.101485013961792
0.001,100,50,25,10,0.7876666666666666,1.0858368873596191
0.001,100,100,50,25,0.8105,1.9075827598571777
0.001,100,200,100,50,0.8128333333333333,4.397907972335815
0.001,100,400,200,100,0.8153333333333334,10.679076910018921
0.001,150,50,25,10,0.8086666666666666,1.5892319679260254
0.001,150,100,50,25,0.8146666666666667,3.100970983505249
0.001,150,200,100,50,0.8141666666666667,6.576358318328857
0.001,150,400,200,100,0.8113333333333334,16.30441379547119
0.01,50,50,25,10,0.8121666666666667,0.6306509971618652
0.01,50,100,50,25,0.8076666666666666,0.9914100170135498
0.01,50,200,100,50,0.8128333333333333,3.067318916320801
0.01,50,400,200,100,0.814,6.728286981582642
0.01,100,50,25,10,0.7805,1.0995030403137207
0.01,100,100,50,25,0.8125,2.193634033203125
0.01,100,200,100,50,0.8113333333333334,4.448180913925171
0.01,100,400,200,100,0.8088333333333333,10.446392059326172
0.01,150,50,25,10,0.812,1.9144129753112793
0.01,150,100,50,25,0.8111666666666667,3.2329041957855225
0.01,150,200,100,50,0.8078333333333333,6.585732698440552
0.01,150,400,200,100,0.8028333333333333,16.705275058746338
0.1,50,50,25,10,0.8031666666666667,0.7044622898101807
0.1,50,100,50,25,0.8116666666666666,1.1055569648742676
0.1,50,200,100,50,0.78,2.642510175704956
0.1,50,400,200,100,0.78,5.329993963241577
0.1,100,50,25,10,0.8083333333333333,0.9966042041778564
0.1,100,100,50,25,0.8073333333333333,1.9975359439849854
0.1,100,200,100,50,0.78,6.546261787414551
0.1,100,400,200,100,0.78,11.299562931060791
0.1,150,50,25,10,0.8081666666666667,1.5332329273223877
0.1,150,100,50,25,0.8076666666666666,3.044118881225586
0.1,150,200,100,50,0.78,6.415719985961914
0.1,150,400,200,100,0.78,15.951726913452148
